"Version (0 = Fixed Task)","Task","Concept","Input Planning Assistance:","Advertising:","Proximity to data points:","Mobile App Availability:","Price"
80,10,1,1,4,1,2,2
80,10,2,2,1,4,1,5
80,10,3,2,3,2,1,3
80,11,1,1,1,4,1,1
80,11,2,2,2,2,2,4
80,11,3,1,3,3,1,2
80,12,1,2,2,3,2,4
80,12,2,1,4,2,1,5
80,12,3,2,3,1,2,3
81,1,1,2,1,1,1,2
81,1,2,2,3,3,2,1
81,1,3,1,2,4,2,3
81,2,1,2,3,4,2,5
81,2,2,1,4,2,1,4
81,2,3,1,2,3,1,3
81,3,1,1,2,4,1,4
81,3,2,1,1,2,2,5
81,3,3,2,4,1,1,1
81,4,1,1,3,1,1,4
81,4,2,2,1,3,2,3
81,4,3,2,4,2,2,2
81,5,1,2,2,2,1,2
81,5,2,1,3,4,2,1
81,5,3,1,4,1,2,5
81,6,1,1,2,1,2,2
81,6,2,2,4,4,1,3
81,6,3,2,1,3,1,1
81,7,1,1,3,3,1,5
81,7,2,2,1,2,2,4
81,7,3,2,4,4,2,1
81,8,1,2,2,3,2,5
81,8,2,1,1,1,1,3
81,8,3,1,3,2,1,2
81,9,1,1,4,3,2,4
81,9,2,2,3,1,2,2
81,9,3,2,2,2,1,1
81,10,1,1,1,4,1,4
81,10,2,1,2,3,1,5
81,10,3,2,3,2,2,3
81,11,1,1,2,2,2,3
81,11,2,2,4,1,1,4
81,11,3,1,1,4,2,2
81,12,1,2,1,1,1,5
81,12,2,2,3,4,1,2
81,12,3,1,4,3,2,1
82,1,1,2,4,4,2,5
82,1,2,2,2,3,1,4
82,1,3,1,3,2,1,1
82,2,1,1,1,1,2,3
82,2,2,1,3,4,2,4
82,2,3,2,4,3,1,2
82,3,1,2,4,4,1,3
82,3,2,1,1,2,1,5
82,3,3,2,2,1,2,1
82,4,1,1,2,2,2,3
82,4,2,1,1,3,2,2
82,4,3,2,3,1,1,1
82,5,1,2,3,3,2,4
82,5,2,1,4,1,1,3
82,5,3,1,2,4,1,5
82,6,1,2,4,4,2,4
82,6,2,1,2,1,1,2
82,6,3,2,1,2,2,5
82,7,1,2,1,2,1,1
82,7,2,1,3,3,2,2
82,7,3,2,2,4,1,3
82,8,1,1,4,2,2,1
82,8,2,2,1,3,1,4
82,8,3,1,3,1,2,5
82,9,1,1,4,2,1,4
82,9,2,1,1,4,1,1
82,9,3,2,2,1,2,2
82,10,1,2,1,4,2,1
82,10,2,2,3,3,2,3
82,10,3,1,4,1,1,5
82,11,1,1,2,3,2,4
82,11,2,2,3,2,1,5
82,11,3,1,1,1,2,3
82,12,1,2,3,2,1,3
82,12,2,1,2,4,2,1
82,12,3,2,4,3,1,2
83,1,1,2,4,2,2,5
83,1,2,1,3,1,1,4
83,1,3,1,1,3,1,2
83,2,1,2,2,4,2,2
83,2,2,2,1,1,2,4
83,2,3,1,4,3,1,3
83,3,1,1,3,2,2,1
83,3,2,2,4,1,2,2
83,3,3,2,2,4,1,5
83,4,1,1,3,4,1,3
83,4,2,1,2,2,1,4
83,4,3,2,1,3,2,5
83,5,1,1,4,4,2,5
83,5,2,2,2,1,1,1
83,5,3,2,3,2,2,4
83,6,1,1,1,3,1,1
83,6,2,1,3,4,1,2
83,6,3,2,4,2,2,3
83,7,1,1,4,2,2,2
83,7,2,2,2,3,1,3
83,7,3,1,1,1,2,4
83,8,1,1,2,3,2,1
83,8,2,2,1,4,1,4
83,8,3,2,3,1,1,5
83,9,1,1,4,3,1,1
83,9,2,2,2,2,1,2
83,9,3,1,1,4,2,3
83,10,1,2,3,1,2,5
83,10,2,1,1,2,1,2
83,10,3,2,4,4,2,1
83,11,1,1,4,2,1,4
83,11,2,2,3,1,1,3
83,11,3,1,2,3,2,5
83,12,1,2,1,4,2,2
83,12,2,2,3,3,2,4
83,12,3,1,2,1,1,1
84,1,1,1,3,4,2,3
84,1,2,2,1,2,1,1
84,1,3,2,4,3,1,5
84,2,1,1,2,1,2,4
84,2,2,2,3,3,1,2
84,2,3,1,1,2,2,5
84,3,1,1,4,1,2,2
84,3,2,1,3,3,2,1
84,3,3,2,2,4,1,3
84,4,1,2,1,1,1,4
84,4,2,1,2,2,2,3
84,4,3,1,4,4,1,5
84,5,1,2,2,2,2,5
84,5,2,1,3,4,1,4
84,5,3,2,4,1,2,1
84,6,1,1,3,2,2,2
84,6,2,2,2,4,1,4
84,6,3,2,1,3,1,3
84,7,1,2,2,4,2,2
84,7,2,2,4,3,2,3
84,7,3,1,1,1,1,5
84,8,1,2,4,3,2,4
84,8,2,1,1,1,1,3
84,8,3,1,3,2,1,1
84,9,1,1,2,3,1,2
84,9,2,2,1,1,2,1
84,9,3,1,3,4,2,5
84,10,1,2,4,2,1,1
84,10,2,1,1,3,2,4
84,10,3,2,3,1,1,2
84,11,1,2,2,2,2,5
84,11,2,1,4,4,1,3
84,11,3,2,3,1,2,1
84,12,1,1,2,2,1,4
84,12,2,2,1,4,2,2
84,12,3,1,4,3,1,5
85,1,1,2,4,2,1,4
85,1,2,1,2,1,2,3
85,1,3,2,3,3,1,5
85,2,1,1,1,4,2,1
85,2,2,1,3,3,2,3
85,2,3,2,2,1,1,2
85,3,1,1,4,4,1,1
85,3,2,2,1,2,2,3
85,3,3,1,3,1,2,4
85,4,1,1,4,3,2,2
85,4,2,2,1,2,1,3
85,4,3,2,2,4,1,5
85,5,1,2,3,3,1,1
85,5,2,2,4,4,2,4
85,5,3,1,1,1,1,5
85,6,1,1,2,2,2,2
85,6,2,2,4,1,1,3
85,6,3,1,1,3,2,5
85,7,1,2,2,2,2,1
85,7,2,2,4,1,2,4
85,7,3,1,3,4,1,2
85,8,1,1,1,2,1,2
85,8,2,2,3,4,2,5
85,8,3,1,2,3,1,4
85,9,1,1,4,2,2,3
85,9,2,2,1,3,1,1
85,9,3,1,2,1,1,5
85,10,1,2,1,3,2,2
85,10,2,2,3,4,2,3
85,10,3,1,4,1,1,1
85,11,1,2,3,2,1,4
85,11,2,1,2,4,2,1
85,11,3,2,4,1,2,5
85,12,1,1,1,4,1,4
85,12,2,2,2,3,2,3
85,12,3,1,3,2,1,2
86,1,1,2,4,4,1,2
86,1,2,2,1,2,2,5
86,1,3,1,3,1,2,4
86,2,1,1,4,4,1,5
86,2,2,2,3,2,2,1
86,2,3,1,2,3,1,3
86,3,1,2,2,1,1,2
86,3,2,1,4,2,2,4
86,3,3,1,1,3,2,1
86,4,1,2,2,3,1,4
86,4,2,1,3,1,2,2
86,4,3,2,1,4,1,3
86,5,1,1,3,2,1,3
86,5,2,2,2,4,2,5
86,5,3,2,1,1,1,1
86,6,1,1,1,4,2,4
86,6,2,1,4,3,2,2
86,6,3,2,3,2,1,5
86,7,1,2,4,3,1,1
86,7,2,1,2,1,2,3
86,7,3,2,1,2,2,2
86,8,1,2,4,1,2,4
86,8,2,1,2,4,1,1
86,8,3,1,3,3,1,5
86,9,1,2,3,4,2,1
86,9,2,1,4,2,1,3
86,9,3,2,1,1,1,2
86,10,1,1,2,3,2,5
86,10,2,2,3,4,1,4
86,10,3,1,1,1,2,3
86,11,1,1,4,3,1,2
86,11,2,2,2,2,2,4
86,11,3,1,3,1,1,1
86,12,1,2,2,4,2,2
86,12,2,1,1,2,1,5
86,12,3,2,4,3,2,3
87,1,1,1,4,4,2,5
87,1,2,1,3,2,2,1
87,1,3,2,1,3,1,4
87,2,1,1,1,4,2,4
87,2,2,2,4,2,1,5
87,2,3,2,2,1,1,3
87,3,1,2,3,3,2,3
87,3,2,1,2,1,1,1
87,3,3,2,1,4,1,2
87,4,1,1,3,3,2,5
87,4,2,2,2,2,1,1
87,4,3,1,4,1,2,2
87,5,1,2,4,1,2,4
87,5,2,2,1,3,2,1
87,5,3,1,3,4,1,3
87,6,1,1,4,4,1,3
87,6,2,1,2,2,1,4
87,6,3,2,3,1,2,5
87,7,1,2,1,3,1,5
87,7,2,1,2,2,2,2
87,7,3,2,4,4,2,1
87,8,1,2,1,2,2,3
87,8,2,1,2,1,1,2
87,8,3,1,3,3,1,4
87,9,1,1,1,1,2,1
87,9,2,2,2,4,2,5
87,9,3,2,3,3,1,2
87,10,1,1,1,1,1,5
87,10,2,2,2,3,2,4
87,10,3,1,4,2,1,3
87,11,1,1,2,3,2,3
87,11,2,1,3,4,2,2
87,11,3,2,4,2,1,4
87,12,1,2,4,1,1,3
87,12,2,2,3,4,1,1
87,12,3,1,1,2,2,4
88,1,1,2,3,2,2,2
88,1,2,2,2,1,1,5
88,1,3,1,4,3,1,1
88,2,1,2,3,1,1,4
88,2,2,1,1,4,2,3
88,2,3,1,4,2,2,5
88,3,1,1,2,3,2,1
88,3,2,2,1,4,1,2
88,3,3,2,3,1,2,3
88,4,1,1,2,4,1,4
88,4,2,2,4,3,2,2
88,4,3,1,1,2,1,1
88,5,1,1,3,1,2,5
88,5,2,1,1,3,1,2
88,5,3,2,2,2,1,3
88,6,1,2,1,2,2,5
88,6,2,2,4,4,2,1
88,6,3,1,3,3,1,4
88,7,1,1,4,1,2,4
88,7,2,2,2,4,1,5
88,7,3,2,3,3,2,3
88,8,1,1,1,4,1,3
88,8,2,1,4,1,1,2
88,8,3,2,2,2,2,1
88,9,1,1,3,2,1,1
88,9,2,1,2,4,2,4
88,9,3,2,4,3,1,5
88,10,1,2,3,2,2,4
88,10,2,1,4,4,1,5
88,10,3,2,1,1,2,2
88,11,1,2,4,2,1,3
88,11,2,2,1,1,1,1
88,11,3,1,2,3,2,2
88,12,1,2,2,3,1,4
88,12,2,1,1,1,2,3
88,12,3,1,3,4,2,1
89,1,1,2,4,3,2,1
89,1,2,1,2,2,2,5
89,1,3,2,3,4,1,2
89,2,1,1,1,1,1,4
89,2,2,2,2,4,2,3
89,2,3,1,4,2,1,2
89,3,1,2,4,4,2,4
89,3,2,2,3,1,1,3
89,3,3,1,1,3,2,5
89,4,1,1,2,1,1,1
89,4,2,1,3,3,1,5
89,4,3,2,1,2,2,2
89,5,1,1,3,2,2,3
89,5,2,1,4,1,2,1
89,5,3,2,1,3,1,4
89,6,1,2,2,4,1,5
89,6,2,2,1,2,1,1
89,6,3,1,4,3,2,2
89,7,1,2,2,1,2,5
89,7,2,1,4,2,1,4
89,7,3,1,3,4,1,3
89,8,1,2,3,1,2,2
89,8,2,2,1,4,2,4
89,8,3,1,2,3,1,3
89,9,1,2,2,2,1,2
89,9,2,1,1,4,2,5
89,9,3,2,3,3,1,1
89,10,1,1,4,1,2,4
89,10,2,1,3,2,2,5
89,10,3,2,1,3,1,3
89,11,1,1,2,4,1,2
89,11,2,2,4,1,2,1
89,11,3,1,1,3,2,3
89,12,1,1,2,2,2,1
89,12,2,2,3,4,1,4
89,12,3,2,4,1,1,5
90,1,1,2,2,3,2,2
90,1,2,2,4,2,2,3
90,1,3,1,1,4,1,1
90,2,1,2,4,4,2,5
90,2,2,1,1,2,1,4
90,2,3,1,3,1,1,2
90,3,1,2,3,3,1,5
90,3,2,1,2,1,2,4
90,3,3,1,4,4,1,3
90,4,1,2,1,2,2,2
90,4,2,2,3,1,2,3
90,4,3,1,2,3,1,1
90,5,1,1,4,2,1,2
90,5,2,1,3,3,2,4
90,5,3,2,1,1,1,5
90,6,1,2,2,4,2,1
90,6,2,1,3,2,1,5
90,6,3,2,4,3,2,4
90,7,1,2,2,1,1,3
90,7,2,1,1,4,2,2
90,7,3,2,3,2,2,1
90,8,1,2,2,4,2,3
90,8,2,1,1,1,1,4
90,8,3,1,4,3,1,1
90,9,1,2,4,4,1,2
90,9,2,1,1,3,2,3
90,9,3,1,2,1,2,5
90,10,1,2,2,3,1,2
90,10,2,1,4,4,2,5
90,10,3,2,3,2,1,4
90,11,1,1,2,4,1,3
90,11,2,1,3,1,2,1
90,11,3,2,1,2,1,5
90,12,1,2,1,3,2,1
90,12,2,2,4,2,2,4
90,12,3,1,3,1,1,2
91,1,1,1,3,4,2,4
91,1,2,1,2,2,2,2
91,1,3,2,4,1,1,1
91,2,1,1,4,2,2,3
91,2,2,2,2,1,1,4
91,2,3,2,1,3,1,5
91,3,1,1,1,4,1,1
91,3,2,1,2,1,2,5
91,3,3,2,3,3,2,2
91,4,1,1,1,3,2,4
91,4,2,2,4,2,1,3
91,4,3,2,3,4,1,1
91,5,1,2,1,1,2,3
91,5,2,1,4,3,1,5
91,5,3,2,3,4,2,2
91,6,1,2,1,1,2,5
91,6,2,1,3,3,1,3
91,6,3,1,2,2,1,1
91,7,1,1,4,2,2,2
91,7,2,2,2,4,1,4
91,7,3,1,3,3,2,5
91,8,1,2,4,1,1,2
91,8,2,2,2,2,1,3
91,8,3,1,1,4,2,1
91,9,1,1,3,2,1,5
91,9,2,1,1,1,1,2
91,9,3,2,2,3,2,4
91,10,1,1,1,2,1,4
91,10,2,2,3,1,2,3
91,10,3,2,4,4,2,1
91,11,1,2,2,3,2,2
91,11,2,2,1,2,1,5
91,11,3,1,4,4,1,3
91,12,1,2,4,3,1,4
91,12,2,1,3,4,2,3
91,12,3,1,2,1,2,1
92,1,1,1,2,1,1,4
92,1,2,2,3,2,2,1
92,1,3,2,1,4,1,2
92,2,1,1,4,3,2,5
92,2,2,1,1,4,2,4
92,2,3,2,3,1,1,1
92,3,1,1,1,1,2,2
92,3,2,1,4,3,1,3
92,3,3,2,2,2,2,5
92,4,1,2,4,3,1,1
92,4,2,1,3,2,2,4
92,4,3,2,2,4,1,5
92,5,1,1,3,3,1,2
92,5,2,2,1,2,2,3
92,5,3,2,4,1,2,4
92,6,1,2,1,3,2,3
92,6,2,1,4,1,1,5
92,6,3,1,2,4,1,1
92,7,1,1,2,2,2,2
92,7,2,2,3,4,1,4
92,7,3,1,1,3,1,1
92,8,1,2,4,4,2,5
92,8,2,2,3,2,1,2
92,8,3,1,2,1,1,3
92,9,1,2,1,1,1,3
92,9,2,1,4,4,2,2
92,9,3,2,2,3,2,1
92,10,1,1,3,2,2,5
92,10,2,2,1,4,1,4
92,10,3,1,4,1,2,1
92,11,1,1,2,2,1,3
92,11,2,2,3,3,2,4
92,11,3,2,4,1,1,2
92,12,1,2,2,3,1,2
92,12,2,1,1,4,2,5
92,12,3,1,3,2,2,1
93,1,1,2,2,1,2,3
93,1,2,1,4,2,1,4
93,1,3,1,3,3,1,5
93,2,1,1,3,1,1,4
93,2,2,2,1,4,2,2
93,2,3,2,4,2,2,1
93,3,1,1,1,3,2,3
93,3,2,2,3,1,2,4
93,3,3,2,2,4,1,5
93,4,1,1,1,2,1,1
93,4,2,2,4,4,2,3
93,4,3,1,2,3,1,2
93,5,1,1,4,1,2,2
93,5,2,1,2,4,2,4
93,5,3,2,1,2,1,5
93,6,1,1,2,1,2,5
93,6,2,2,4,2,1,3
93,6,3,2,3,3,1,1
93,7,1,2,2,2,2,4
93,7,2,1,3,4,1,3
93,7,3,2,1,3,2,5
93,8,1,1,1,1,1,1
93,8,2,1,4,3,1,4
93,8,3,2,3,4,2,2
93,9,1,1,1,2,1,2
93,9,2,1,2,3,2,3
93,9,3,2,3,1,1,5
93,10,1,2,4,4,2,1
93,10,2,2,1,1,2,4
93,10,3,1,2,2,1,5
93,11,1,2,2,2,1,1
93,11,2,2,4,3,1,2
93,11,3,1,3,4,2,3
93,12,1,2,3,4,1,3
93,12,2,1,1,1,2,1
93,12,3,1,4,3,2,5
94,1,1,2,2,1,1,5
94,1,2,2,1,2,2,2
94,1,3,1,4,4,1,4
94,2,1,1,2,2,2,4
94,2,2,2,4,1,1,3
94,2,3,1,3,3,2,2
94,3,1,1,1,4,1,1
94,3,2,1,4,2,2,3
94,3,3,2,3,3,2,5
94,4,1,1,2,4,2,2
94,4,2,2,1,3,1,4
94,4,3,2,3,1,1,1
94,5,1,2,2,3,2,1
94,5,2,2,4,2,2,5
94,5,3,1,3,4,1,2
94,6,1,1,4,4,1,5
94,6,2,2,3,2,2,4
94,6,3,1,1,1,1,3
94,7,1,1,3,2,1,1
94,7,2,2,2,3,1,3
94,7,3,1,1,1,2,2
94,8,1,1,4,3,1,2
94,8,2,2,2,1,2,1
94,8,3,2,1,4,2,4
94,9,1,2,1,2,1,5
94,9,2,1,2,1,1,4
94,9,3,1,3,3,2,3
94,10,1,2,3,1,2,2
94,10,2,2,4,4,2,1
94,10,3,1,1,3,1,4
94,11,1,2,2,4,1,3
94,11,2,1,4,2,2,5
94,11,3,1,1,3,2,1
94,12,1,2,2,4,1,4
94,12,2,2,4,2,1,2
94,12,3,1,3,1,2,5
95,1,1,2,1,2,2,3
95,1,2,1,4,1,2,4
95,1,3,1,3,4,1,5
95,2,1,2,3,2,1,1
95,2,2,1,1,4,2,3
95,2,3,2,2,3,1,2
95,3,1,2,4,1,1,3
95,3,2,1,1,2,1,2
95,3,3,1,2,3,2,1
95,4,1,2,2,4,2,2
95,4,2,2,4,3,2,5
95,4,3,1,3,1,1,4
95,5,1,1,4,4,1,1
95,5,2,1,2,2,2,3
95,5,3,2,1,1,1,5
95,6,1,2,3,3,2,4
95,6,2,2,4,1,2,2
95,6,3,1,2,4,1,5
95,7,1,1,2,1,2,4
95,7,2,2,1,3,1,3
95,7,3,1,3,2,2,1
95,8,1,2,4,2,1,4
95,8,2,1,3,3,2,3
95,8,3,2,1,4,1,1
95,9,1,1,4,3,1,4
95,9,2,2,3,4,2,5
95,9,3,1,2,2,1,2
95,10,1,2,2,3,2,1
95,10,2,1,3,4,1,2
95,10,3,2,1,1,2,5
95,11,1,2,1,2,1,4
95,11,2,1,4,1,2,3
95,11,3,1,2,3,1,5
95,12,1,1,3,1,1,1
95,12,2,2,1,4,2,2
95,12,3,2,4,2,2,3
96,1,1,2,4,3,1,1
96,1,2,2,3,1,1,3
96,1,3,1,1,4,2,4
96,2,1,1,4,4,2,1
96,2,2,2,3,3,1,2
96,2,3,1,2,2,2,5
96,3,1,2,4,4,1,5
96,3,2,2,2,1,2,2
96,3,3,1,1,2,1,3
96,4,1,2,2,1,1,1
96,4,2,1,1,3,2,4
96,4,3,1,3,2,2,2
96,5,1,1,1,1,1,5
96,5,2,2,3,2,2,4
96,5,3,2,2,4,2,3
96,6,1,1,3,4,1,3
96,6,2,2,1,2,2,1
96,6,3,1,4,3,1,2
96,7,1,2,2,3,1,5
96,7,2,2,3,2,1,3
96,7,3,1,4,1,2,4
96,8,1,1,4,1,2,2
96,8,2,1,1,3,2,1
96,8,3,2,2,4,1,4
96,9,1,2,3,3,2,5
96,9,2,2,1,1,1,2
96,9,3,1,2,2,1,1
96,10,1,1,2,1,2,3
96,10,2,2,1,3,1,4
96,10,3,1,4,4,2,5
96,11,1,2,1,3,2,3
96,11,2,2,4,2,2,1
96,11,3,1,3,4,1,4
96,12,1,1,2,2,1,2
96,12,2,1,4,4,1,3
96,12,3,2,3,1,2,5
97,1,1,2,1,4,2,2
97,1,2,1,3,1,1,1
97,1,3,2,4,2,1,4
97,2,1,2,4,1,1,1
97,2,2,1,1,2,2,3
97,2,3,1,2,3,2,5
97,3,1,1,3,3,1,2
97,3,2,1,1,1,1,5
97,3,3,2,2,4,2,4
97,4,1,2,2,2,2,2
97,4,2,1,4,3,1,3
97,4,3,2,3,4,2,1
97,5,1,1,1,4,1,1
97,5,2,2,3,2,1,5
97,5,3,1,2,1,2,4
97,6,1,1,2,2,1,4
97,6,2,2,4,3,2,3
97,6,3,2,1,1,2,2
97,7,1,1,4,4,2,5
97,7,2,2,2,1,1,2
97,7,3,2,3,3,1,3
97,8,1,1,4,3,2,4
97,8,2,1,3,2,2,1
97,8,3,2,1,4,1,5
97,9,1,2,4,2,1,4
97,9,2,1,2,3,1,1
97,9,3,1,3,4,2,2
97,10,1,2,3,3,2,4
97,10,2,2,1,1,2,3
97,10,3,1,4,2,1,5
97,11,1,2,2,4,1,3
97,11,2,1,1,1,2,1
97,11,3,2,3,2,2,5
97,12,1,1,1,3,1,2
97,12,2,1,2,1,1,3
97,12,3,2,4,4,2,1
98,1,1,2,4,1,1,2
98,1,2,1,2,3,2,5
98,1,3,1,3,4,1,4
98,2,1,2,1,2,2,4
98,2,2,2,2,3,2,1
98,2,3,1,3,1,1,5
98,3,1,2,1,4,1,3
98,3,2,2,3,3,1,1
98,3,3,1,4,2,2,2
98,4,1,1,1,2,2,3
98,4,2,1,2,4,2,2
98,4,3,2,4,1,1,4
98,5,1,2,2,2,1,5
98,5,2,1,1,3,1,2
98,5,3,1,3,1,2,3
98,6,1,2,3,1,2,4
98,6,2,1,1,2,1,1
98,6,3,2,4,4,2,5
98,7,1,2,3,2,2,3
98,7,2,2,4,3,1,2
98,7,3,1,2,4,2,4
98,8,1,1,4,1,1,1
98,8,2,2,1,3,2,5
98,8,3,1,2,4,1,3
98,9,1,2,2,1,2,1
98,9,2,1,1,2,1,4
98,9,3,2,3,4,1,2
98,10,1,1,1,4,2,2
98,10,2,2,2,2,1,1
98,10,3,1,4,3,2,5
98,11,1,1,3,1,1,5
98,11,2,2,4,3,2,3
98,11,3,2,1,4,1,4
98,12,1,1,3,3,2,4
98,12,2,1,4,2,2,2
98,12,3,2,2,1,1,5
99,1,1,1,3,4,2,1
99,1,2,2,2,1,2,2
99,1,3,2,4,3,1,3
99,2,1,2,4,4,2,1
99,2,2,1,2,3,1,4
99,2,3,1,1,2,1,5
99,3,1,1,4,4,1,1
99,3,2,1,1,1,2,3
99,3,3,2,3,2,1,2
99,4,1,2,1,1,2,4
99,4,2,1,3,3,1,3
99,4,3,2,2,2,2,5
99,5,1,2,1,4,1,5
99,5,2,1,4,1,1,4
99,5,3,1,2,2,2,3
99,6,1,2,3,3,2,1
99,6,2,1,4,2,1,2
99,6,3,2,2,4,2,4
99,7,1,2,2,4,1,2
99,7,2,2,3,1,1,3
99,7,3,1,1,3,2,5
99,8,1,1,3,1,2,1
99,8,2,2,1,3,1,2
99,8,3,1,4,2,2,4
99,9,1,1,2,3,1,3
99,9,2,2,1,2,1,1
99,9,3,1,3,4,2,5
99,10,1,2,4,1,2,2
99,10,2,2,3,2,2,3
99,10,3,1,1,4,1,1
99,11,1,1,2,3,2,4
99,11,2,1,3,4,1,2
99,11,3,2,4,1,1,5
99,12,1,1,2,1,1,3
99,12,2,2,4,2,2,5
99,12,3,2,1,3,2,1
100,1,1,2,4,4,2,3
100,1,2,1,1,1,2,2
100,1,3,2,3,3,1,4
100,2,1,1,2,2,1,1
100,2,2,2,3,4,2,4
100,2,3,1,4,3,1,5
100,3,1,2,1,2,1,4
100,3,2,1,4,4,2,3
100,3,3,1,2,1,2,2
100,4,1,2,3,1,1,5
100,4,2,1,1,3,2,1
100,4,3,2,2,2,1,3
100,5,1,2,4,3,1,1
100,5,2,1,3,2,2,2
100,5,3,2,2,4,2,5
100,6,1,1,1,1,1,4
100,6,2,1,3,4,1,5
100,6,3,2,2,3,2,2
100,7,1,2,1,2,1,3
100,7,2,1,2,4,1,4
100,7,3,1,4,1,2,1
100,8,1,1,4,3,1,3
100,8,2,2,1,1,2,5
100,8,3,2,3,2,2,4
100,9,1,2,2,1,1,1
100,9,2,1,1,2,2,2
100,9,3,2,4,4,1,4
100,10,1,1,3,3,2,3
100,10,2,2,1,4,1,2
100,10,3,1,2,2,2,5
100,11,1,2,4,3,2,2
100,11,2,1,1,4,2,3
100,11,3,1,3,1,1,1
100,12,1,2,2,3,1,5
100,12,2,1,4,1,2,4
100,12,3,2,3,2,1,1
101,1,1,2,2,4,2,1
101,1,2,1,4,2,1,5
101,1,3,2,1,1,2,3
101,2,1,1,1,4,1,5
101,2,2,1,3,3,1,2
101,2,3,2,4,1,2,4
101,3,1,1,2,2,2,1
101,3,2,2,4,1,1,3
101,3,3,2,3,3,1,4
101,4,1,2,1,3,1,1
101,4,2,1,3,4,2,2
101,4,3,1,2,2,2,4
101,5,1,1,1,3,2,5
101,5,2,2,4,2,1,2
101,5,3,2,3,4,2,3
101,6,1,1,4,4,1,1
101,6,2,2,3,2,2,5
101,6,3,1,2,1,1,3
101,7,1,1,3,2,1,3
101,7,2,2,2,3,2,2
101,7,3,1,1,1,1,4
101,8,1,1,2,1,1,2
101,8,2,2,1,3,2,1
101,8,3,2,4,4,2,4
101,9,1,2,2,4,1,3
101,9,2,2,3,1,2,5
101,9,3,1,4,3,1,4
101,10,1,2,3,1,1,2
101,10,2,1,1,2,2,1
101,10,3,1,2,3,2,5
101,11,1,1,4,2,2,3
101,11,2,2,1,4,1,5
101,11,3,1,3,1,2,1
101,12,1,1,1,4,2,2
101,12,2,2,4,3,1,1
101,12,3,2,2,2,1,4
102,1,1,2,1,1,2,3
102,1,2,2,4,2,1,2
102,1,3,1,3,4,1,4
102,2,1,1,2,3,2,5
102,2,2,1,4,4,2,1
102,2,3,2,1,2,1,3
102,3,1,1,1,2,1,2
102,3,2,2,2,3,2,4
102,3,3,1,3,1,1,5
102,4,1,1,2,4,1,1
102,4,2,2,3,3,2,3
102,4,3,2,4,1,2,5
102,5,1,2,2,1,2,2
102,5,2,2,3,2,2,1
102,5,3,1,1,3,1,4
102,6,1,1,3,3,1,2
102,6,2,2,1,1,2,4
102,6,3,1,4,4,1,5
102,7,1,2,1,3,1,5
102,7,2,1,4,2,2,3
102,7,3,2,2,4,1,1
102,8,1,2,4,4,1,2
102,8,2,1,2,1,2,3
102,8,3,1,3,2,2,4
102,9,1,1,4,1,1,1
102,9,2,2,2,2,1,5
102,9,3,2,3,4,2,2
102,10,1,1,1,3,2,3
102,10,2,1,4,2,2,5
102,10,3,2,3,1,1,4
102,11,1,1,4,1,2,2
102,11,2,1,2,3,1,3
102,11,3,2,1,4,2,4
102,12,1,2,1,2,1,1
102,12,2,1,3,4,2,5
102,12,3,2,2,3,1,2
103,1,1,1,2,2,2,4
103,1,2,1,3,4,1,3
103,1,3,2,4,3,2,1
103,2,1,2,3,2,1,3
103,2,2,2,1,1,1,5
103,2,3,1,4,3,2,4
103,3,1,2,4,3,2,3
103,3,2,2,2,4,2,1
103,3,3,1,1,1,1,2
103,4,1,1,1,4,1,4
103,4,2,1,3,1,1,1
103,4,3,2,2,2,2,2
103,5,1,1,1,4,2,5
103,5,2,1,3,3,1,1
103,5,3,2,4,1,1,4
103,6,1,1,4,4,1,3
103,6,2,2,2,2,2,5
103,6,3,2,3,3,2,2
103,7,1,1,2,1,2,1
103,7,2,1,4,3,1,5
103,7,3,2,1,2,1,3
103,8,1,1,2,2,1,2
103,8,2,2,3,4,2,4
103,8,3,2,1,1,2,1
103,9,1,2,2,4,1,3
103,9,2,1,1,3,2,2
103,9,3,1,3,2,2,4
103,10,1,1,1,2,2,1
103,10,2,2,2,3,1,4
103,10,3,2,4,1,1,5
103,11,1,1,3,1,1,5
103,11,2,1,1,3,2,3
103,11,3,2,4,4,2,2
103,12,1,1,2,1,2,3
103,12,2,2,4,2,1,1
103,12,3,2,3,4,1,5
104,1,1,1,2,4,1,1
104,1,2,2,3,1,2,2
104,1,3,1,4,2,1,4
104,2,1,2,4,4,2,3
104,2,2,2,1,3,2,5
104,2,3,1,3,2,1,2
104,3,1,2,1,1,1,4
104,3,2,1,2,3,2,5
104,3,3,2,3,2,2,1
104,4,1,1,4,3,1,3
104,4,2,2,2,1,2,4
104,4,3,1,1,4,1,2
104,5,1,2,3,3,1,1
104,5,2,1,1,4,2,4
104,5,3,1,4,1,2,2
104,6,1,1,3,1,2,3
104,6,2,2,1,3,1,2
104,6,3,2,2,2,1,5
104,7,1,2,4,4,2,5
104,7,2,1,2,2,1,4
104,7,3,2,1,1,1,3
104,8,1,1,3,3,2,4
104,8,2,1,4,2,2,1
104,8,3,2,2,4,1,3
104,9,1,1,2,1,1,5
104,9,2,1,1,4,2,1
104,9,3,2,4,2,2,2
104,10,1,2,3,3,1,4
104,10,2,2,4,1,1,1
104,10,3,1,1,2,2,5
104,11,1,1,2,3,1,2
104,11,2,2,3,4,2,3
104,11,3,1,4,2,1,4
104,12,1,2,2,3,2,1
